"company","date","average_volatility","highest_volatility","lowest_volatility"
"AMZN","2023-04-03","0.225","0.8","0.087"
"AMZN","2023-04-04","0.264","0.71","0.09"
"AMZN","2023-04-05","0.243","1.16","0.092"
"AMZN","2023-04-06","0.234","0.74","0.086"
"AMZN","2023-04-10","0.222","0.92","0.095"
"AMZN","2023-04-11","0.221","0.86","0.079"
"AMZN","2023-04-12","0.277","1.01","0.075"
"AMZN","2023-04-13","0.243","0.805","0.08"
"AMZN","2023-04-14","0.283","1.22","0.12"
"BABA","2023-04-03","0.312","1.52","0.1"
"BABA","2023-04-04","0.36","1.598","0.09"
"BABA","2023-04-05","0.296","1.05","0.065"
"BABA","2023-04-06","0.315","1.17","0.08"
"BABA","2023-04-10","0.25","1.62","0.053"
"BABA","2023-04-11","0.28","2.625","0.05"
"BABA","2023-04-12","0.32","1.24","0.095"
"BABA","2023-04-13","0.269","1.38","0.07"
"BABA","2023-04-14","0.203","0.762","0.04"
"BBY","2023-04-03","0.135","0.357","0.05"
"BBY","2023-04-04","0.163","0.579","0.05"
"BBY","2023-04-05","0.154","0.51","0.055"
"BBY","2023-04-06","0.141","0.58","0.04"
"BBY","2023-04-10","0.138","0.53","0.04"
"BBY","2023-04-11","0.144","0.66","0.05"
"BBY","2023-04-12","0.153","0.695","0.04"
"BBY","2023-04-13","0.124","0.372","0.045"
"BBY","2023-04-14","0.151","0.79","0.03"
"COST","2023-04-03","0.588","1.53","0.24"
"COST","2023-04-04","0.71","2.111","0.303"
"COST","2023-04-05","0.728","3.6","0.24"
"COST","2023-04-06","0.969","4.89","0.27"
"COST","2023-04-10","0.614","2.39","0.21"
"COST","2023-04-11","0.629","4.14","0.155"
"COST","2023-04-12","0.689","1.78","0.171"
"COST","2023-04-13","0.535","1.64","0.15"
"COST","2023-04-14","0.689","2.23","0.26"
"EBAY","2023-04-03","0.076","0.21","0.025"
"EBAY","2023-04-04","0.082","0.19","0.025"
"EBAY","2023-04-05","0.081","0.21","0.035"
"EBAY","2023-04-06","0.076","0.34","0.02"
"EBAY","2023-04-10","0.072","0.41","0.02"
"EBAY","2023-04-11","0.07","0.25","0.02"
"EBAY","2023-04-12","0.091","0.33","0.022"
"EBAY","2023-04-13","0.071","0.24","0.02"
"EBAY","2023-04-14","0.089","0.31","0.03"
"HD","2023-04-03","0.407","2.345","0.104"
"HD","2023-04-04","0.442","1.45","0.14"
"HD","2023-04-05","0.45","1.695","0.11"
"HD","2023-04-06","0.389","1.795","0.12"
"HD","2023-04-10","0.395","2.01","0.118"
"HD","2023-04-11","0.359","1.18","0.125"
"HD","2023-04-12","0.539","2.5","0.14"
"HD","2023-04-13","0.454","2.185","0.16"
"HD","2023-04-14","0.482","1.992","0.165"
"KR","2023-04-03","0.072","0.21","0.01"
"KR","2023-04-04","0.07","0.26","0.025"
"KR","2023-04-05","0.119","0.89","0.03"
"KR","2023-04-06","0.061","0.33","0.015"
"KR","2023-04-10","0.064","0.3","0.015"
"KR","2023-04-11","0.071","0.33","0.02"
"KR","2023-04-12","0.094","0.67","0.02"
"KR","2023-04-13","0.068","0.29","0.02"
"KR","2023-04-14","0.064","0.4","0.02"
"SHOP","2023-04-03","0.167","0.45","0.07"
"SHOP","2023-04-04","0.169","0.46","0.05"
"SHOP","2023-04-05","0.171","0.609","0.065"
"SHOP","2023-04-06","0.174","0.94","0.06"
"SHOP","2023-04-10","0.161","0.74","0.06"
"SHOP","2023-04-11","0.154","0.53","0.06"
"SHOP","2023-04-12","0.271","1.5","0.105"
"SHOP","2023-04-13","0.158","0.62","0.05"
"SHOP","2023-04-14","0.163","0.572","0.055"
"TGT","2023-04-03","0.273","1.56","0.06"
"TGT","2023-04-04","0.279","0.85","0.07"
"TGT","2023-04-05","0.33","1.37","0.1"
"TGT","2023-04-06","0.324","2.34","0.11"
"TGT","2023-04-10","0.318","0.705","0.11"
"TGT","2023-04-11","0.262","1.47","0.07"
"TGT","2023-04-12","0.332","0.995","0.08"
"TGT","2023-04-13","0.29","1.18","0.095"
"TGT","2023-04-14","0.302","0.92","0.11"
"WMT","2023-04-03","0.167","0.57","0.05"
"WMT","2023-04-04","0.171","0.61","0.065"
"WMT","2023-04-05","0.248","1.35","0.07"
"WMT","2023-04-06","0.193","1.875","0.045"
"WMT","2023-04-10","0.171","0.733","0.065"
"WMT","2023-04-11","0.163","0.66","0.046"
"WMT","2023-04-12","0.159","0.53","0.05"
"WMT","2023-04-13","0.154","0.71","0.048"
"WMT","2023-04-14","0.161","0.829","0.06"
